id,coin_rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr
bitcoin,1.0,BTC,Bitcoin,19806537.0,21000000.0,2025926909689.044,11037890368.56233,102285.77109108192,4.193867231433753,99037.55522373544
ethereum,2.0,ETH,Ethereum,120473321.71139802,0.0,445672679728.48,6048645932.975863,3699.347485380365,1.827797777766286,3646.003605244324
xrp,3.0,XRP,XRP,57410227039.0,100000000000.0,139933511573.29422,1106922316.5597486,2.437431774625005,2.8105168255194286,2.396033935528879
tether,4.0,USDT,Tether,137271150956.4624,0.0,137404418016.83553,22719110127.376724,1.000970830793248,0.1221444327286217,0.9998047467228488
solana,5.0,SOL,Solana,482993277.4169127,0.0,106804956502.9548,895441454.5125719,221.13135212596828,3.4605817199850115,215.02245645077656
binance-coin,6.0,BNB,BNB,144006830.0,144006830.0,104294347800.18771,259584677.90502027,724.2319534440672,2.205584161239185,713.1188890406919
dogecoin,7.0,DOGE,Dogecoin,147512016383.7052,0.0,57514048244.86579,1034718942.119154,0.389893987315999,1.5398901451211866,0.3840631332202927
usd-coin,8.0,USDC,USDC,45654867918.66953,0.0,45678374551.32272,2386191126.487605,1.0005148768077714,0.0877341973001542,0.9997503073178942
cardano,9.0,ADA,Cardano,35151153812.59065,45000000000.0,38498804126.82649,520991440.7628808,1.0952358586032178,0.2966875608223915,1.0855871125584604
steth,10.0,STETH,Lido Staked ETH,9634305.91065331,0.0,35387733015.57476,271423.0010390175,3673.096260774129,1.80492235741551,3632.766764819191
tron,11.0,TRX,TRON,86189837068.37299,0.0,23038603427.428143,266281367.9107685,0.2673006958947143,1.5357228416685649,0.2632705650503535
avalanche,12.0,AVAX,Avalanche,410210879.10905975,715748719.0,18304925783.3397,205410846.7114889,44.62320897752959,6.663404955374177,43.29714553489043
chainlink,13.0,LINK,Chainlink,638099970.4527867,0.0,15514507386.53752,304959708.20566183,24.313599913707325,4.237485710834116,23.6409747906341
shiba-inu,14.0,SHIB,Shiba Inu,589255324330599.9,0.0,14351797603.975912,135544705.87005952,2.4355821681e-05,2.226001025621931,2.39080432909e-05
stellar,15.0,XLM,Stellar,30346237571.74333,50001806812.0,13923251258.235874,213333808.2547302,0.4588130975156012,4.645434267991842,0.4454311536332638
wrapped-bitcoin,16.0,WBTC,Wrapped Bitcoin,132514.77886692,0.0,13496490005.15194,29914041.849387243,101848.94183543102,3.9794973116424495,98564.77411428216
sp8de,17.0,SPX,Sp8de,7783756906.18,0.0,12280398449.612112,36927133.68210209,1.5776955264188626,19.137003103455186,1.465857639759397
polkadot,18.0,DOT,Polkadot,1522267060.0,0.0,11939880906.95605,130488960.36742374,7.843486350519895,3.4760625471079347,7.681244543598466
bitcoin-cash,19.0,BCH,Bitcoin Cash,19812096.875,21000000.0,9498684324.33288,69179880.52594732,479.4386169350325,2.4032881228470164,471.1188931798244
uniswap,20.0,UNI,Uniswap,600483073.71,0.0,9206110759.240091,216307945.5166497,15.331174453197214,1.5362477776829282,15.179052453647332
litecoin,21.0,LTC,Litecoin,75389337.05410936,84000000.0,8658597359.980871,269238256.9714392,114.8517509016735,2.538523921559678,113.97505223550203
unus-sed-leo,22.0,LEO,UNUS SED LEO,924381474.9,0.0,8498275476.400494,107876.07689053376,9.193472291642191,0.1004301876580803,9.035542312065772
near-protocol,23.0,NEAR,NEAR Protocol,1168780032.0,0.0,7043443798.013499,81714095.7581536,6.026321125593545,4.988532886224387,5.871251041493032
internet-computer,24.0,ICP,Internet Computer,478683995.3016616,0.0,5900858549.768825,45961645.073531374,12.32725265036314,2.0652381763203307,12.109939543501754
multi-collateral-dai,25.0,DAI,Multi Collateral DAI,5365382702.664872,0.0,5369740546.861717,49773704.529991046,1.0008122149785663,0.0030033225662629,1.000429673748202
aave,26.0,AAVE,Aave,15040771.07315026,0.0,5233907626.319341,145693131.39828905,347.98133691846084,1.5788784376276028,342.09301878066066
hedera-hashgraph,27.0,HBAR,Hedera Hashgraph,14832756028.0,50000000000.0,4615755575.812938,139284497.0431415,0.3111866444172419,3.184129979263492,0.3035435336293526
ethereum-classic,28.0,ETC,Ethereum Classic,150243361.6507542,210700000.0,4354081041.166712,63224334.6163985,28.980189163285107,3.88132655665951,28.14892671636995
vechain,29.0,VET,VeChain,80985041177.0,86712634466.0,4335254940.601901,33285181.647450294,0.0535315519705277,5.836380817819522,0.0509128012715084
crypto-com-coin,30.0,CRO,Crypto.com Coin,25263013692.0,30263013692.0,4103898417.5619583,9640077.603896337,0.1624469062794964,1.7701360415933685,0.1594918090002898
fetch,31.0,FET,Artificial Superintelligence Alliance,2520000000.0,2630547141.0,4103881895.169519,166248256.27472508,1.628524561575206,9.112116357378708,1.5725236489075596
monero,32.0,XMR,Monero,18446744.07370955,0.0,3782675814.627617,42500244.0545828,205.0592668013819,4.20557730046326,200.80157437093143
filecoin,33.0,FIL,Filecoin,619443202.0,0.0,3773019778.759487,229953503.88885072,6.090985850805231,8.141184323953535,6.006899570863921
algorand,34.0,ALGO,Algorand,8352670134.729707,10000000000.0,3508455454.994894,94949687.16220632,0.4200399870224766,3.1052684919154463,0.4069240340262335
okb,35.0,OKB,OKB,60000000.0,0.0,3066881963.9146976,367773.2253113185,51.114699398578296,1.8840028609925463,50.21358152402666
stacks,36.0,STX,Stacks,1507831826.83626,1818000000.0,2780718700.8512487,27628266.581102192,1.8441835829170456,6.473368808696473,1.773338390114816
